Seq   key   Reference   Name                        Simbad_Identifier                  Sci_key  C_key    Loc   type  RA             DEC            vel     vel_bibcode         U_mag   B_mag   V_mag   R_mag   I_mag   J_mag   H_mag   K_mag   Teff   logg   Z     vturb   Li    Be    C    N    O    F    Na   Mg   Al   Si   P    S    K    Ca    Sc    Ti    V     Cr    Mn    Fe    Co    Ni    Cu    Zn   Ga    Ge    As    Se    Rb   Sr    Y     Zr    Nb    Mo    Ru    Rh    Pd    Ag    Cd    Sn   Te    Ba    La    Ce    Pr    Nd    Sm    Eu    Gd    Tb    Dy    Ho    Er    Tm    Yb    Lu    Hf    W     Os    Ir    Pt    Au    Hg   Pb    Bi    Th    U     CaII   TiII   VII   CrII   MnII   FeII  
1223  1     ROE14b      CS22169-008                 BPS_CS_22169-0008                  R2       *        *     SG    4_3_36.1       -12_49_41      178     1992AJ....103.1987B *       15.42   14.99   *       *       *       *       *       5810   3.6    -2.59 1.3     2.02  *     5.76 5.85 6.71 *    *    5.23 2.91 5.1  *    *    *    3.98  0.51  2.54  1.65  2.66  2.17  4.65  2.2   3.27  *     2.25 *     *     *     *     2.57 0.28  -0.8  0.36  1.27  0.84  *     *     *     *     *     *    *     -1.2  *     -0.08 -0.58 -0.3  -0.12 -1.18 0.11  -0.47 -0.55 -0.73 -0.51 -0.77 -1.23 *     0.31  *     *     *     *     *     *    1.45  *     -0.44 *     *      2.67   1.65  3.36   2.33   4.91  
1224  1     ROE14b      CS22171-031                 BPS_CS_22171-0031                  R1       *        *     SG    2_9_24.3       -10_34_15      36      1992AJ....103.1987B *       14.32   13.93   *       *       *       *       *       6010   3.7    -2.42 1.35    2.09  *     6.25 6.5  6.59 *    *    5.45 3.17 5.87 *    *    *    4.27  0.84  2.81  2     3.01  2.74  4.96  2.51  3.84  *     2.44 *     *     *     *     2.48 0.74  -0.47 0.58  1.42  1.04  *     *     *     *     *     *    *     -0.72 *     0.08  -0.36 -0.27 -0.01 -1.35 0.19  -0.29 -0.29 -0.64 -0.11 -0.57 -1.17 *     0.34  *     *     *     *     *     *    1.54  *     -0.35 *     *      2.96   2     3.45   2.88   5.08  
1225  1     ROE14b      CS22171-037                 BPS_CS_22171-0037                  R2       NO       *     SG    2_8_0.6        -9_3_42        -234    1992AJ....103.1987B *       15.28   14.93   *       *       *       *       *       6110   3.65   -3.35 1.6     1.99  *     6.1  8.2  5.89 *    2.51 4.31 2.04 3.96 *    *    *    3.25  -0.2  1.8   1.77  1.9   1.31  3.87  1.9   2.59  2.3   2.34 1.46  *     *     *     2.87 -1.85 -0.18 0.27  1.47  1.14  *     *     *     *     *     *    *     -1.7  -0.77 0     -0.33 -0.14 -0.11 -1.27 0.2   -0.37 -0.3  -0.47 -0.15 -0.66 -1.1  *     0.6   *     *     *     *     *     *    1.54  *     -0.28 *     *      1.8    1.79  *      *      4.15  
1226  1     LAI07       CS22174-012                 BPS_CS_22174-0012                  *        *        *     RG    1_14_16        -8_29_43       -232    1992AJ....103.1987B *       *       14.983  *       *       *       *       *       4934   2.06   -2.52 *       *     *     5.34 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     4.98  *     *     *     *    *     *     *     *     *    -0.1  *     *     *     *     *     *     *     *     *     *    *     -1.29 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1227  1     ROE14b      CS22174-020                 BPS_CS_22174-0020                  R2       NO       *     SG    1_20_27.1      -8_47_14       117     1992AJ....103.1987B *       15.46   15.06   *       *       *       *       *       5840   3.55   -3.02 1.4     1.95  *     5.9  5.9  6.34 *    *    4.81 2.41 4.61 *    *    *    3.61  0.11  2.24  1.87  2.02  1.59  4.21  1.82  2.71  *     2.23 *     *     *     *     *    -0.46 -0.96 0.29  1.32  1.19  *     *     *     *     *     *    *     -1.52 -0.4  0.03  -0.27 -0.17 -0.05 -1.4  0.27  0.25  -0.52 -0.54 -0.22 -0.7  -0.82 *     0.64  *     *     1.57  *     *     *    1.67  *     -0.22 *     *      2.05   1.87  *      1.95   4.48  
1228  1     ROE14b      CS22177-010                 BPS_CS_22177-0010                  R2       NO       *     SG    4_10_0.4       -25_44_42      93      1992AJ....103.1987B *       14.71   14.31   *       *       *       *       *       6050   3.7    -2.88 1.5     2.01  *     6.15 6.35 6.1  *    *    5.03 2.74 5.06 *    *    *    3.89  0.21  2.4   *     2.47  1.97  4.5   2.13  3.2   *     2.54 *     *     *     *     2.69 -0.36 -0.48 0.33  1.33  1.22  *     *     *     *     *     *    *     -1.21 -0.71 0.09  0.14  -0.06 0     -1.32 0.19  -0.2  -0.35 -0.56 -0.21 -0.55 -1.01 *     0.51  *     *     *     *     *     *    1.57  *     -0.38 *     *      2.28   *     *      2.18   4.62  
1229  1     LAI07       CS22180-005                 BPS_CS_22180-0005                  *        *        *     SG    1_34_27.7      -10_16_21      38      1992AJ....103.1987B *       14.52   14.02   *       *       *       *       *       5851   3.63   -1.99 *       *     *     6.87 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.51  *     *     *     *    *     *     *     *     *    1.1   *     *     *     *     *     *     *     *     *     *    *     0.17  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1230  1     PRE00       CS22180-040                 BPS_CS_22180-0040                  *        *        *     MS    1_45_52.15     -8_5_2.9       -135    1992AJ....103..267B 14.68   14.85   14.52   *       *       *       *       *       7050   4.5    -1.2  2.5     *     *     *    *    *    *    *    6.87 *    *    *    *    *    5.37  2.05  4.3   *     4.15  3.9   6.32  *     *     *     *    *     *     *     *     *    1.68  *     *     *     *     *     *     *     *     *     *    *     0.88  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1231  2     PRE06       CS22191-029                 BPS_CS_22191-0029                  R1       *        *     HB    4_47_42.48     -39_7_26.41    70      1992AJ....103.1987B *       14.46   14.05   *       *       12.947  12.646  12.614  6000   2.35   -2.5  2.9     *     *     5.97 *    *    *    3.75 5.28 3.07 4.89 *    *    *    4.13  0.67  2.62  1.61  2.73  1.97  4.79  *     *     *     *    *     *     *     *     *    0.48  *     *     *     *     *     *     *     *     *     *    *     -0.69 -1.13 *     *     *     *     -1.65 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1232  1     ROE14b      CS22191-029                 BPS_CS_22191-0029                  *        NO       *     HB    4_47_42.48     -39_7_26.41    70      1992AJ....103.1987B *       14.46   14.05   *       *       12.947  12.646  12.614  5810   1.55   -2.94 2.8     1.38  *     6.45 7.5  6.25 *    *    5.23 2.96 4.9  *    *    *    3.94  0.38  2.43  1.21  2.65  2.23  4.56  2.16  3.41  *     2.35 *     *     *     *     2.67 0.22  -1.01 -0.11 0.73  1.06  *     *     *     *     *     *    *     -1.13 -1.44 -0.63 -1.05 -0.91 -0.71 -2.05 -0.36 -1.15 -0.92 -1.19 -1.03 -1.37 -2.05 *     -0.22 *     *     *     *     *     *    1.72  *     -0.94 *     *      2.34   1.21  2.93   2.2    4.56  
1233  1     MCW95       CS22783-055                 BPS_CS_22783-0055                  *        *        *     MS    *              *              *       *                   *       *       *       *       *       *       *       *       7880   4.2    -1.66 2.5     *     *     5.1  *    *    *    3.58 5.1  3.98 5.14 *    *    *    3.95  0.2   2.27  1.23  2.35  2.2   4.64  2.63  3.15  *     *    *     *     *     *     *    -0.73 -1.06 -0.12 *     *     *     *     *     *     *     *    *     -1.34 -1.51 *     *     -1.02 *     -2.49 -0.82 *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1234  1     ROE14b      CS22871-104                 BPS_CS_22871-0104                  R2       NO       *     SG    14_50_53.101   -20_48_37.73   -162    1999AJ....117.2329W *       15.33   14.91   *       *       13.865  13.631  13.56   6370   4      -2.06 1.4     2.25  *     7.05 8.2  *    *    *    5.9  3.65 5.68 *    *    *    4.61  1.14  3.4   2.37  3.3   2.94  5.3   2.94  *     2.91  3.02 *     *     *     *     *    1.35  0.59  1.17  2.09  2.07  *     *     *     *     *     *    *     -0.16 *     0.61  0.31  0.55  0.49  -0.65 0.91  0.61  0.34  *     0.55  0.25  *     *     1.14  *     *     *     *     *     *    2.31  *     0.41  *     *      3.35   2.37  *      *      5.44  
1235  2     LAI08       CS22872-0102                BPS_CS_22872-0102                  R1       *        *     RG    16_29_20.7     -3_4_54        -42     1992AJ....103.1987B *       14.24   13.65   *       *       *       *       *       4550   0.7    -3    2.2     1.97  *     6.25 5.6  *    *    3.42 5.09 2.88 4.96 *    *    *    3.89  0.27  2.46  *     2.48  1.9   4.64  2.27  3.41  *     *    *     *     *     *     *    -0.16 *     *     *     *     *     *     *     *     *     *    *     -1.3  *     *     *     *     *     -1.4  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1236  1     ROE14b      CS22872-102                 BPS_CS_22872-0102                  R2       *        *     SG    16_29_20.7     -3_4_54        -42     1992AJ....103.1987B *       14.24   13.65   *       *       *       *       *       6020   3.65   -2.82 1.4     2.11  *     6.23 6.2  6.26 *    3.34 5.22 2.94 5.22 *    *    *    3.96  0.35  2.5   1.8   2.56  2.14  4.65  2.33  3.46  *     2.5  *     *     *     *     *    -0.07 -0.84 0.25  1.42  1.12  *     *     *     *     *     *    *     -1.26 *     0.04  -0.29 -0.2  0     -1.32 0.29  -0.24 -0.4  -0.47 -0.13 -0.55 -1.18 *     0.67  *     *     *     *     *     *    1.66  *     -0.24 *     *      2.39   1.8   *      2.27   4.68  
1237  1     ROE14b      CS22873-072                 BPS_CS_22873-0072                  R2       *        *     SG    19_52_5.5      -61_37_36      -83     1992AJ....103.1987B *       15.05   14.64   *       *       *       *       *       6030   3.7    -2.86 1.4     1.81  *     6.01 7.8  6.19 *    2.91 4.86 2.6  4.89 *    *    *    3.8   0.39  2.39  1.77  2.38  2.07  4.42  2.15  3.28  *     2.31 *     *     *     *     2.83 -0.37 -0.45 0.42  1.56  1.27  *     *     *     *     *     *    *     -1.57 -0.56 -0.05 -0.23 -0.02 -0.09 -1.12 0.36  -0.08 -0.24 -0.05 -0.06 -0.51 -0.91 *     0.53  *     *     *     *     *     *    1.89  *     -0.34 *     *      2.25   1.77  *      *      4.64  
1238  1     SPI00       CS22873-139                 BPS_CS_22873-0139                  *        *        *     MS    20_5_55.15     -59_17_11.4    243     1992AJ....103.1987B *       14.2    13.83   13.8    *       12.862  12.58   12.627  6300   4.2    -3.37 1.3     *     *     *    *    *    *    2.4  4.17 2.3  *    *    *    *    3.15  *     2.17  *     *     *     4.13  *     *     *     *    *     *     *     *     *    -1.5  *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
1239  2     AND09       CS22873-166                 BPS_CS_22873-0166                  *        *        *     RG    20_19_21.8     -61_30_20      -16.2   2011ApJ...742...54H *       12.81   11.82   *       *       *       *       9.137   4550   0.9    -2.97 2.1     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     4.53  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -1.54 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
